MJD,score_err,PC1,PC2,PC3,PC4,PC5
49994.067,0.010700281303282893,0.2955920064631544,0.0078930388377535,-0.044570525804193725,-0.03397734215947151,-0.01279440446160453
49995.243,0.008551465301203903,0.31663274902580707,0.006852339285503092,-0.03303904532510203,-0.013437307836581164,-0.010772249669283558
50006.129,0.007415165184943111,0.3916919250462482,-0.1041959896686199,-0.045023026879271566,0.01841169757564326,-0.05353687144371308
50006.96,0.02653403649953932,0.39480036464714274,-0.11583601463645896,-0.03932789821287135,0.025246885427640302,-0.05738367476999081
50007.038,0.016882971727083616,0.3954412636512836,-0.11691707612698596,-0.03897344230328011,0.026062743457511483,-0.05771681615312192
50029.19,0.007856914425311948,0.36390468149103056,-0.15485718024089015,-0.021279806797483366,0.00020156732337033544,-0.06819264210390216
50029.994,0.011017982627056016,0.36532593303379385,-0.15910150264433692,-0.02556139861873402,0.0034547298872500765,-0.07084678259431999
50030.945,0.011457335747182992,0.361320580171947,-0.15603068254452349,-0.03388010990159221,0.020927132753277816,-0.06764566087201092
50032.07,0.008750552114096555,0.36209084027437954,-0.15162133236863887,-0.04531245019570329,0.016867910233506134,-0.06115239648767305
50032.875,0.05478843642945937,0.35726759413897774,-0.14717352338845596,-0.04740727708330682,0.025792799496009232,-0.05530712489495469
50033.966,0.02075848977399993,0.3520299695955298,-0.1442938303213029,-0.04769738537991854,0.03909735564678763,-0.047851867801578664
50034.328,0.008061992756991869,0.3495249362411072,-0.1427703566061467,-0.043549219181742364,0.04507793726546389,-0.04230640882118075
50035.982,0.021587404070037283,0.34029522403720885,-0.148752133098781,-0.0738195699291031,0.013920123657141,-0.03388824594182656
50036.375,0.010690720126201507,0.33790044384356094,-0.1491778344200862,-0.07960798794761047,0.003894326237203761,-0.03125249429958308
50058.155,0.010528817065042245,0.20350360661389585,-0.21588821585543974,0.025567929613344278,-0.056058871456480176,-0.01601647403164713
50084.995,0.011745947902893811,0.0057608777433542915,-0.026594345700636526,-0.08899640777305284,-0.06805856977581708,-0.012398941111214857
50086.098,0.010096310009256926,0.002067652249593239,-0.012577253572453546,-0.09948825289067852,-0.05498254454516679,-0.010104941456242427
50086.954,0.01339857130942177,-0.009055763365744849,-0.00789595348986128,-0.10488439336987192,-0.045141743380091644,-0.020635534481508743
50087.995,0.01164294473583526,-0.012091241503628038,0.004160582394139141,-0.12771867606995171,-0.03753790347281104,-0.044659195880289285
50088.833,0.013875008275772302,-0.0017027903596277625,0.0027581730742098735,-0.15373849139287019,-0.05103122798644268,-0.05840569600519947
50089.845,0.013122997463260594,0.004095918052072998,0.016186456499579935,-0.18532401223178163,-0.07485958141219916,-0.0852612556096137
50109.825,0.009157384146689937,-0.04626086738234615,0.03760635056163823,-0.05886106678542367,0.04980961423212782,0.0016371311959258558
50115.862,0.00895852103438791,-0.06466798694742024,0.06225128426272412,-0.1274864500454843,0.0332558748220313,-0.00042182591674365996
50119.732,0.009839254611797287,-0.07888121264875216,0.08166626254255964,-0.1679198049088513,0.0115249282907878,-0.015526214596841227
50120.943,0.00835011449062909,-0.08590108880302086,0.07854496313256355,-0.15676578672449107,0.015976846779186253,-0.018963312191973225
50135.751,0.012371851401914906,-0.06477540984898641,0.029670470699301697,-0.20371594031527027,-0.03657177101304075,-0.07289298717902234
50136.902,0.009148568523867468,-0.0681834497191034,0.029188204418923266,-0.20029731457999625,-0.031547540538818926,-0.07175996124758
50137.921,0.010367092415412104,-0.05521705348011097,0.03200018684023289,-0.18823184014062624,-0.0038937734140266347,-0.08375458726764363
50138.731,0.011369321843219307,-0.050121865942492794,0.02641759186763428,-0.18658785778817463,-0.01732248981987922,-0.10220132114146192
50185.795,0.007751900748213063,-0.06747672802209667,-0.02703581370458072,-0.047527043021671975,0.01054500678071485,0.0519314569942032
50206.726,0.009477181935647288,-0.047850102540461056,-0.08469960092463474,-0.028637432443368114,-0.006025614570444252,0.08293171784054862
50240.808,0.01475150628522387,-0.05030878730918967,-0.07161581282621743,-0.11864819382958687,0.06356874745251206,-0.0033093791624126522
50245.691,0.011469789856016042,-0.09341527881500145,-0.05586834201615775,-0.13462919052587272,-0.016215192042766207,-0.025183100803981125
50260.712,0.013410042790094289,-0.10431293982555696,-0.029951393379476547,0.020018274232917792,-0.004539192401824983,-0.047858134791290835
50264.543,0.002839467167435214,-0.11938997175670543,-0.03846048633200994,0.08489845044575699,0.048093218586424125,-0.008659961194624501
50268.747,0.023437153435854983,-0.08917529965688176,-0.08744993609213109,0.07900820729557848,0.05207496333561998,-0.0044709567903240075
50293.234,0.014214268797808235,-0.1414257584197926,-0.16241601242980538,-0.0675389916615804,-0.09211575143283837,0.041597799462984975
50298.309,0.013173443071550451,-0.1266006813805034,-0.16005896015080578,-0.029772832982444358,-0.06221005651390112,0.02221595581031719
50332.126,0.011667696048263551,0.1019167885120831,-0.1499176605357356,-0.049444163218164285,0.1688682748768672,0.10029429595820512
50338.391,0.015988750803917103,0.0747392295176138,-0.14929102579832199,-0.018773940696846396,0.08377726688861471,0.07577638323989273
50342.074,0.016878087649251784,0.059217027965079716,-0.13016462275014634,-0.049384735336854786,0.020720216639267805,0.09433206735741496
50344.216,0.010760714529952491,0.04132767248626665,-0.1359544272681629,-0.054829672276472945,0.014332658057757013,0.07789239010215739
50348.241,0.07684668177450045,-0.05022276369850219,-0.10057827056313595,-0.0121107444808378,0.018686181306448932,0.05727585331787415
50350.341,0.009645978698771346,-0.09408736084630488,-0.08252722536288487,0.012815127219196962,0.024822999459134076,0.04490678909761535
50355.226,0.008982375917153401,-0.16433145163365923,-0.07205232847176984,-0.029921746979990078,-0.053841280443627265,-0.007375040493596047
50381.192,0.011548245150805913,-0.12395108549892717,-0.20167945465592482,0.028753633014005422,-0.009474758149579845,-0.019321704279668995
50386.219,0.011179407190448873,-0.13468713282608258,-0.12704180694626133,0.006457403663143634,-0.013169002672594951,-0.0467208116759764
50387.392,0.012710191748356725,-0.11973112444239253,-0.10717135684415438,0.00271131641844767,-0.008808896566424602,-0.051248180221322624
50389.054,0.012886818782095808,-0.10763792346277962,-0.06621018540394666,-0.0025656896477367352,-0.01704292292907616,-0.06110319294154101
50391.078,0.011369775752576946,-0.08024484549495974,-0.03524178370980257,-0.014542193896257258,-0.0293576570349477,-0.06955343126753519
50394.032,0.010574283105831464,-0.047627268277817686,0.0061354596956652505,-0.03550347905840486,-0.028238604242330045,-0.12036709386410573
50396.09,0.01155269970933288,-0.059164098281959565,-0.023446329687654956,-0.06354874874989817,-0.06344172458581122,-0.09563936573995166
50398.117,0.01089055690705347,-0.07408334120569356,-0.04800098938867619,-0.07060319510934078,-0.05591294439464567,-0.10293396516536012
50400.071,0.010766804761432585,-0.07403768428282802,-0.059686014492628094,-0.07279066111101531,-0.006711841207647526,-0.09134187814799899
50402.169,0.007442012737290991,-0.093537718679391,-0.07431211407716148,-0.026604600517376762,0.019699307090821475,-0.06962798812820767
50404.178,0.009786094669727878,-0.1153126021673666,-0.07516138780879736,-0.026095875140131175,0.08221133778768076,-0.053266447969727695
50406.087,0.006747173686407651,-0.11333509959792586,-0.08912142450240365,-0.054846543022757425,0.10296348036718582,-0.052249826088106834
50408.098,0.008675083864955095,-0.08496997412171822,-0.08037129004314353,-0.07177949528642709,0.08765456538117568,-0.05698871777225306
50415.97,0.009302438821012343,-0.00395050588164707,-0.05786256313998361,-0.1392847283287345,0.11591021582116959,-0.011354211412681935
50418.091,0.007638312105654387,0.0026276886048898183,-0.05638021870304084,-0.16729242654855025,0.09319279477718963,-0.011248683619703194
50420.126,0.008512906679246628,-0.01782673667521657,-0.06933737879819155,-0.1395072722964796,0.0831303973367885,-0.0034744679975659653
50421.985,0.007845652084847827,-0.01709569462727864,-0.09350648758238023,-0.09544680662842948,0.04545910684662861,-0.004552200221922262
50451.952,0.009694376133838372,-0.05864530264865485,-0.17658410148768083,0.12804051494287658,0.010336152677426245,0.09847971787663234
50456.995,0.009609083684460779,-0.026694065865714958,-0.13560421905624698,0.08033290902044278,-0.0016112922530802142,0.10768330687016026
50459.012,0.009720779388386109,-0.03438597308932602,-0.12961459221561644,0.016932588840538096,0.023826640694373624,0.09131581209320716
50463.079,0.010207922003848652,-0.035802772565760976,-0.10699124595004864,0.006829657718648981,0.07925287318287344,0.06339037118995217
50466.816,0.007879311226651168,0.008941371516323827,-0.11423023756941572,0.03914409425267174,0.154365746505007,0.08094844417004803
50467.687,0.02201102861698633,0.008735910078435978,-0.1033553512799974,0.039827506039069725,0.1527399605421666,0.07415135506081343
50505.867,0.007604943652713635,0.06863551266343686,-0.026264495191769446,-0.004556672747966213,-0.0216501564809971,0.019823949653424267
50508.069,0.011048527110136248,0.06561206856349745,-0.03275876812269161,0.0007524932523435164,-0.009638018347969853,0.018509217720520936
50514.68,0.00850196908667839,0.01790158936337187,0.018715717629501742,-0.06516419007072508,-0.038308728501027185,-0.1193975481873278
50516.868,0.006308012402631124,-0.04042950737653865,0.030481567167622677,-0.0804502187710143,-0.004850675002136459,-0.1763730306817849
50536.623,0.011108967723136937,-0.024696972171430537,0.07343390238512179,-0.19754840862502634,0.007779409106118428,-0.15001504836945284
50581.762,0.006617663936486796,0.040546093673715033,-0.03390839450488566,-0.019636317917490577,-0.0008230299984309771,-0.03269766587779438
50594.596,0.002154277751199913,-0.024846139222857878,0.01365577001175684,-0.004727545828496302,-0.021170866975703563,-0.016520839189114917
50606.475,0.008622544821122258,-0.06167491212761067,0.03051912963290836,-0.05875836385888401,-0.08967669921030255,-0.019901286868573145
50610.76,0.008498144620945941,-0.08575436676198815,0.10495079367321292,-0.06549442892789749,-0.06463497321943647,-0.042199146828839
50639.698,0.007036053871360415,0.06874037314229603,0.5010903206711875,0.16991291927927904,-0.09345874985709675,-0.011091694045798494
50642.265,0.006215313764739249,0.08098610379342952,0.43426665855118224,0.18757159641272497,-0.09420390251309033,-0.0041840983725329895
50674.219,0.007565771998324898,0.015666964241222988,0.10485132808551859,-0.055669771380089016,0.11422005609554374,-0.03177485809480352
50675.344,0.007310690452975578,0.030259999976082728,0.08908082727972108,-0.05147610346894644,0.1285141231197719,-0.013948060908743917
50682.48,0.008217451033956059,0.11575390203334979,0.0045573839172165405,-0.005129254825059089,0.12521506861858248,0.05987026986391033
50684.416,0.00743766753248095,0.12134510050627888,0.019203595306056354,-0.015447475056767804,0.04349195622267365,0.044539705293814014
50686.41,0.005726126112008907,0.13503063137591828,0.05012714746715846,-0.01483089358409789,-0.007175725895754462,0.03158730892158848
50700.272,0.00925522463279338,0.21799197977617843,0.08229900369452821,0.05350623047489456,0.0913195601973025,0.017830893492142827
50711.443,0.010775148715750615,0.12240316799864048,0.034528874402664986,-0.03418074957162514,0.04183111748282114,0.08010611936746483
50713.182,0.008043587864537707,0.10389036125127551,0.02735234633766369,-0.06006143481734982,0.05600531722836777,0.0867486974829141
50717.25,0.010403065852225604,0.0954466581905678,0.08460487259226143,-0.08970177698072865,0.035298046076638244,0.04238694474026149
50719.394,0.008773897626645627,0.053645235427464924,0.1139662332765008,-0.14513801878099958,-0.032763975354084436,0.022235633482575796
50720.019,0.010700995104585026,0.04749201474865769,0.12981095695484182,-0.15932713004764046,-0.03401055392512552,0.02149574246864898
50721.182,0.0066701592000806996,0.06468018571227749,0.14679276889680687,-0.11547508136032433,-0.04031100129766092,-0.0004033376265805081
50723.515,0.01776555828041245,0.10727531317786536,0.05841865605404083,-0.053087437926594046,0.02549389849343118,0.01553241183398748
50724.398,0.00931082451006634,0.11517485291364239,0.038542378688649195,-0.033770996953947516,0.041028442045000973,0.02022428436308454
50725.469,0.011584239840002565,0.12621376149850622,0.030461854365046954,-0.02210322137606178,0.06495189110108693,0.03492811034775535
50726.084,0.009785884878248968,0.12188144734562899,0.03154813398857591,-0.018574103704243422,0.07050690995735887,0.03406870148105575
50728.246,0.008503391136611688,0.14306162337933034,0.020473297598478716,0.017439771409538254,0.07847556207063262,0.03114477157220571
50756.136,0.0061896643866597625,0.0475714204524032,0.301358327470574,-0.052584138791733334,0.020696465805524693,0.0007833210191463074
50760.091,0.004373518155012462,-0.001960822216329287,0.39687918583281806,0.023652792785828252,0.08625470550039772,0.023042591327380697
50762.148,0.003726218910340213,-0.01785550840111322,0.35574992986580867,0.02083591099522475,0.020375899093399923,0.05347773602475273
50765.181,0.003994390870752612,0.03391960910245157,0.4497962968128897,0.02159816080860697,0.04067709110104711,0.04881262899706767
50769.211,0.005974579991317836,0.03446189458445349,0.4035256973931376,0.036706233888695275,-0.03490558671605919,0.025433371034325282
50786.16,0.0031680127853593904,0.013962028974499767,0.417617401710891,0.031860753062285745,0.06600854986668232,-0.002905653441092795
50790.07,0.003154914043101645,-0.036347330197628744,0.37542864794216535,0.049001377279717054,0.09924282471566266,0.0575204658336773
50793.22,0.0034776202013000585,0.011630759719765443,0.4324764118711947,0.05135941177297584,0.08912372432627613,0.02809554969628945
50796.082,0.005188551015895453,-0.04051422283311622,0.41343917696321414,0.03859484949039477,0.029793289501655957,0.0037071323675510856
50797.137,0.00323614680660606,-0.043905497518450104,0.38813507087254734,0.053044980282080705,0.02010592502977901,0.008013646314092493
50801.098,0.0032532953805622378,-0.03558733554955516,0.32198418943549545,0.07761342208484585,0.0038570426797263904,0.04532346806583086
50803.191,0.003703213845258426,-0.02931125513214473,0.3401525614345845,0.11231540329243916,0.05774268575858174,0.05518845773389773
50804.035,0.0028706262036223046,-0.06692777841416747,0.35902216797167813,0.08815394753074525,0.04315168542433123,0.03650572804122532
50818.905,0.0037071303294869723,-0.03567323319138396,0.31529942154459156,0.05951395720216135,-0.004983796512978298,0.004327342610279877
50822.005,0.004941764538150436,-0.04629697610829933,0.2901820278633143,0.14004953215343613,0.07738662093417602,0.025041510968555954
50825.23,0.011509690679444476,-0.025695894958975344,0.2877060284321721,0.07055984194247525,0.06534530129707868,0.04839424665594968
50830.907,0.00620687869386753,-0.10178250098392569,0.22388750373599958,0.0422684682140217,0.07142401629063193,0.06746906577062788
50831.966,0.008636554308160266,-0.08078195360125516,0.2174808521425053,0.03478456519369799,0.07204893483380251,0.0535694348810246
50835.978,0.004681803816702549,-0.07259876652051797,0.21764564543658443,0.06483609311975096,0.09179021925736028,0.011481017967445507
50842.161,0.007441604007353393,-0.05681170919842399,0.13964040872936387,0.1274239195558836,0.057096113700194406,0.08666008452330767
50845.116,0.0041802920244708745,-0.0027675304468122164,0.11791947929220858,0.16685603733500506,0.08737565304724526,0.07966086120373127
50848.888,0.004193221997568548,-0.0017204574447890024,0.1540882530493928,0.14332089750943722,-0.00995359511203047,0.0034756136283235566
50851.844,0.004260773321085875,-0.07298039310882407,0.1560469025361737,0.13212158875363622,-0.035873276027478404,-0.0010004247143762064
50856.929,0.004239484039445158,-0.07607770009707142,0.13684230386588855,0.10066267708701229,-0.03394661200642831,0.018305384224476237
50859.94,0.004267161157911527,-0.048097955482969135,0.1273844581538527,0.0697812275508157,-0.10109333069307952,-0.021901231641081122
50870.923,0.005836728615451229,-0.1003269436364208,0.06845698988013696,0.10057117269191918,-0.07838260527260359,0.014562428963948725
50873.914,0.005201189676176048,-0.06742052817394115,0.06188402250307247,0.09686288043449569,-0.030506266001872742,0.01790609508307503
50875.828,0.00480905479348442,-0.10932178708104881,0.04668248455514258,0.05081201299026507,-0.09805718810860321,-0.019686606075003107
50878.76,0.005358476290687454,-0.1109519961185911,0.08795757544361771,0.0999773162173457,-0.06376205890003055,-0.03162356947779267
50882.725,0.004974331376044529,-0.08674181521478913,0.10108736821814654,0.07193935729002034,-0.07816956158198328,-0.044893869688648516
50902.871,0.007110598510246905,-0.019103820635163953,0.034839648151593405,0.08829157945255468,-0.12268699297533742,-0.032712707751841076
50905.825,0.00458769801164264,-0.011815362008100651,0.06055507388947656,0.06338409689373305,-0.1400738939820635,-0.03414881493887644
50911.494,0.00687550326544423,-0.04003472134764412,-0.025866241666835862,0.1390239791876156,-0.1864886519740839,-0.07434837365352553
50928.548,0.005057238808943417,0.01195349798643492,0.04597945704831944,0.1801853429992682,0.016580983586859464,-0.05109010439857349
50936.796,0.031100232206872847,-0.017209988405872748,0.07029047640805747,0.11728982058378255,-0.05868258394940904,-0.024055976529849712
50941.876,0.008850405405986833,-0.009531478451656455,0.0627310763473232,0.08716454711035325,-0.09512816457418827,-0.0037660099769334706
50947.71,0.0061465950087468395,0.0072937560127754805,0.017350120489015443,0.1764185725406125,-0.030920321340586393,-0.0164274817156601
50948.758,0.006363523851347906,0.012888864634893252,0.0237978164653697,0.2294544176948936,0.010871978775670484,-0.003862064836392749
50958.494,0.006836837143099671,0.03651754398160889,0.04496464207957042,0.14275051874959827,-0.07994334139608826,-0.050186433368982604
50959.516,0.006010362027197695,0.010460544181025745,0.06066208605040618,0.09142190606167264,-0.07484391507823338,-0.05498628145492335
50962.575,0.007080465928042837,0.02670126715484984,0.03133432141683273,0.11946893912326687,-0.04232192276174183,0.006765198107220722
50965.607,0.006901275926857241,0.044313530990282665,0.011910668667827827,0.15591706037228217,-0.02443349545875584,0.028353899487501163
51012.284,0.0065833956731125185,0.07672859680161455,0.10111290054050659,0.1002264322279279,-0.00569890585609921,0.03454201000806313
51013.215,0.008344285319749557,0.0874625920507191,0.12577738394738858,0.07175765336483264,-0.004689651649638618,0.03945819626925948
51020.26,0.012047590557408514,0.12638839478226532,0.1810511812027938,-0.0016637376725919225,0.00227991209432939,-0.04781471225503439
51024.228,0.007994804362646333,0.14343997737362735,0.21675857108384747,-0.017316364437077156,-0.0317978432553321,-0.09883676711833854
51032.263,0.006551070084574391,0.06659138623989024,0.1862576071252592,0.018261614378779545,-0.06491249868290849,-0.07066789140287817
51040.175,0.009796209836090747,0.09322120692439054,0.037025745811931854,0.13125882880934092,-0.003230725148171825,0.013652233547075163
51060.22,0.005594057459995227,0.02195531580798816,0.0673337595846044,0.133433949144499,0.004879352389888387,0.013887656984767079
51063.366,0.004838991580623105,0.02031756615374674,0.12373791342843946,0.056112391016787,0.0006151863688606957,-0.015189450535891966
51069.503,0.006749181224997616,0.034192616749840414,0.07071810824127517,0.12476203587491108,0.01276804654628846,0.01703029686862568
51074.484,0.007257963760362145,0.021070443923052448,0.09501205402514529,0.15718152872928812,0.00549720832956285,0.022737940173732537
51078.368,0.005512816159631992,-0.08853411455767567,0.17140244022132098,0.028939527680966668,-0.061073656876405695,-0.020075276646316188
51086.139,0.005705009334094068,-0.04604757845139912,0.0902059273849781,0.02624321484105193,-0.0718396637682899,0.004538323193075219
51089.177,0.006427861416002185,-0.07095240602741971,0.13321579639478265,0.0010498038238433232,-0.055191030118409916,-0.017215629661509583
51091.235,0.006436260880905889,-0.020570216052579377,0.10401677335168058,0.02477705248104372,-0.0007772537567044919,-0.031832504329357164
51092.271,0.005466365277771873,-0.01556316864587801,0.06588085524872317,0.057154240058016954,-0.00483610336464396,0.008435274728734439
51093.28,0.006571785784798739,-0.056049832252965656,0.04675554642289083,0.0666767637441217,-0.031741868679514736,0.0036571059056379088
51094.307,0.006719288522533946,-0.08062270335204431,0.04322864653310109,0.10079803978870584,-0.04670178401781085,0.003493233919979345
51097.307,0.00630928728466181,-0.10233191688889556,0.05327711580319076,0.11141541294439085,-0.08532151748854437,-0.03323530926183173
51108.118,0.00534456937639303,-0.07549742261440806,0.06233642083391032,0.2082570516042351,0.08273146982519922,-0.05558571051887012
51113.989,0.020548229966038053,-0.12486636277280566,0.10415494795867553,0.12385117307893051,0.03808943358285222,0.003088127433653828
51117.018,0.00747651879728089,-0.14388323875106282,0.12011023437144774,0.08559389774976746,-0.008644332441544438,0.0068028067511683825
51120.111,0.008507272673428523,-0.17163899181331735,0.056097668397848854,0.0765564704293713,-0.06979906074959287,0.01848508488392046
51121.254,0.009809191470229133,-0.18671977962952482,0.08838294771009719,0.10717142554443876,-0.08404342384770616,-0.004888923951903835
51122.311,0.009462722908013532,-0.1885287442097666,0.10954589622617708,0.11640898532344826,-0.085333976461531,-0.021044959719302835
51127.196,0.00602988919417695,-0.22808970818618773,0.07416122959289081,0.1444351549906697,-0.023207539585443377,-0.01112986896033972
51133.195,0.005468263949432037,-0.19109292249833854,0.04396793091289786,0.15094666679842175,-0.07257394180343939,-0.019717851956720708
51136.132,0.005224433809909391,-0.17724205909182106,0.08390007717262564,0.03911624810733592,-0.012755165403778048,0.017257321776411972
51140.339,0.016712651345026832,-0.16273782867124417,0.1042232903478639,0.036003298034590445,-0.07817308306481516,0.00426409714069525
51149.007,0.0058131488510168835,-0.14657836718077072,0.024380250956855733,0.08708310625442366,-0.11017317222283492,0.026366665209178
51153.163,0.005757459623879072,-0.13062818422608527,-0.05083768252559769,0.21379413803778596,-0.06458139440881983,-0.0060623680659835835
51183.978,0.007271479970235082,-0.09672574392389,0.009706048931198509,0.07017720903872478,-0.08307523057591742,0.003736421452221451
51187.973,0.005814259706812455,-0.14704798166233105,0.02883985157561498,0.1580899344400892,-0.06332254140088957,-0.0062775333996344905
51189.022,0.005123740166343725,-0.14034921074909862,0.026309230941450712,0.18820979398990742,-0.01870105217731692,-0.013405663953034918
51212.666,0.012555858205712018,0.02235280582727544,0.06751608526761277,0.25865412815236455,0.027512413649404186,-0.015333403416664362
51228.83,0.0057232130645133,0.009481748014246002,0.054100461032562025,0.19381298576259362,-0.07746673350258323,0.03766337497376038
51230.96,0.008215263584256978,-0.03214031260503801,0.09096527946244826,0.15939058550619117,-0.07324647991083523,0.023949251002158105
51237.805,0.00456080223794317,-0.0653347595094369,0.025898224959725068,0.053038586359727545,-0.06412972155882005,0.03089266693688165
51239.904,0.006526564901910998,-0.07345526226493704,-0.02893037826655824,0.08598471674511254,-0.07511130313011856,0.04096940980674593
51243.805,0.0051905191413231305,-0.10125824920220533,0.03647216593631274,0.06312367808345681,-0.09540782666415787,-0.0024011560286848273
51249.657,0.007860047406509103,-0.12357838107906549,0.08706023025055817,0.04822179723059069,-0.0639463107115226,-0.0564907712940639
51252.86,0.0057889020561536445,-0.11929584616696923,0.05833230546337429,0.09323896306416861,-0.08334452206770397,-0.016996758999932332
